anime_id,anime_name,genres,type,number_of_episodes,rating,total_views,production_cost,total_box_office
101004,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,"Comedy, Ecchi, Fantasy",TV,12,66,153080,200000,29.0
21403,Sword Art Online: Ordinal Scale,"Action, Adventure, Fantasy, Romance, Sci-Fi",MOVIE,1,73,152934,100000,28.0
11597,Nisemonogatari,"Comedy, Drama, Ecchi, Mystery, Psychological, Supernatural",TV,11,79,152778,300000,23.0
21685,Eromanga Sensei,"Comedy, Drama, Ecchi, Romance, Slice of Life",TV,12,60,151944,200000,37.0
11887,Kokoro Connect,"Drama, Romance, Slice of Life, Supernatural",TV,13,75,151186,200000,45.0
21595,Sakamoto desu ga?,"Comedy, Slice of Life",TV,12,72,150842,150000,13.0
97994,Blend S,"Comedy, Slice of Life",TV,12,70,150488,100000,50.0
159831,Zom 100: Zombie ni Naru Made ni Shitai 100 no Koto,"Action, Comedy, Horror, Supernatural",TV,12,77,150332,300000,24.0
20631,Trinity Seven,"Action, Comedy, Ecchi, Fantasy, Romance",TV,12,67,150109,150000,57.0
146984,Shingeki no Kyojin: The Final Season - Kanketsu-hen Zenpen,"Action, Drama, Fantasy, Mystery, Psychological",SPECIAL,1,87,149975,150000,53.0
146065,Mushoku Tensei II: Isekai Ittara Honki Dasu,"Adventure, Drama, Ecchi, Fantasy",TV,13,82,149798,200000,40.0
4654,Toaru Majutsu no Index,"Action, Sci-Fi, Supernatural",TV,24,70,149721,300000,53.0
131646,Vanitas no Carte,"Drama, Fantasy, Mystery, Supernatural",TV,12,78,148278,100000,39.0
114308,Sword Art Online: Alicization - War of Underworld Part 2,"Action, Adventure, Fantasy",TV,11,74,148118,100000,26.0
21196,Koutetsujou no Kabaneri,"Action, Drama, Fantasy, Horror, Supernatural",TV,12,70,147892,150000,7.0
20966,Yamada-kun to 7-nin no Majo,"Comedy, Mystery, Romance, Supernatural",TV,12,73,147202,150000,47.0
457,Mushishi,"Adventure, Fantasy, Mystery, Psychological, Slice of Life, Supernatural",TV,26,85,146706,250000,22.0
21701,Kuzu no Honkai,"Drama, Ecchi, Psychological, Romance",TV,12,68,146485,150000,7.0
20626,FAIRY TAIL (2014),"Action, Adventure, Fantasy",TV,102,74,146241,300000,8.0
111762,Fruits Basket: 2nd Season,"Comedy, Drama, Psychological, Romance, Slice of Life, Supernatural",TV,25,85,146023,250000,58.0
578,Hotaru no Haka,Drama,MOVIE,1,82,146020,200000,43.0
112124,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,"Action, Adventure, Comedy, Fantasy, Romance",TV,12,74,145599,250000,17.0
105156,Shinchou Yuusha: Kono Yuusha ga Ore TUEEE Kuse ni Shinchou Sugiru,"Action, Adventure, Comedy, Fantasy",TV,12,73,145328,200000,27.0
114232,Hige wo Soru. Soshite Joshikousei wo Hirou.,"Drama, Romance, Slice of Life",TV,13,70,145240,150000,55.0
356,Fate/stay night,"Action, Fantasy, Romance, Supernatural",TV,24,68,145009,100000,12.0
18671,Chuunibyou demo Koi ga Shitai! Ren,"Comedy, Drama, Romance, Slice of Life",TV,12,73,145005,250000,48.0
21700,Rokudenashi Majutsu Koushi to Akashic Records,"Action, Comedy, Fantasy",TV,12,68,144744,250000,24.0
2966,Ookami to Koushinryou,"Adventure, Fantasy, Romance",TV,13,80,144283,150000,50.0
20994,"GATE: Jieitai Kanochi nite, Kaku Tatakaeri","Action, Adventure, Fantasy",TV,12,74,144021,150000,47.0
13125,Shinsekai yori,"Drama, Horror, Mystery, Psychological, Sci-Fi, Supernatural",TV,25,80,143998,150000,23.0
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance, Slice of Life",TV,24,81,143224,200000,59.0
103047,Violet Evergarden Movie,"Drama, Fantasy, Slice of Life",MOVIE,1,87,142926,150000,32.0
98034,Saiki Kusuo no Ψ-nan 2,"Comedy, Slice of Life, Supernatural",TV,24,83,142726,100000,15.0
21861,Ao no Exorcist: Kyoto Fujouou-hen,"Action, Fantasy, Supernatural",TV,12,72,142717,300000,20.0
127911,Kawaii dake ja Nai Shikimori-san,"Comedy, Romance, Slice of Life",TV,12,68,142618,150000,51.0
143270,Lycoris Recoil,"Action, Slice of Life",TV,13,81,141749,200000,35.0
877,NANA,"Drama, Music, Romance, Slice of Life",TV,47,84,141706,250000,34.0
